id,version_id,currency_ref_id,name,symbolic_code,numeric_code,exponent,wtime,current
1,1,INR,Indian Rupee,INR,356,2,2022-05-30 10:28:32.492000,true
2,1,RUB,Russian rubles,RUB,643,2,2022-05-30 10:28:32.492000,true
3,1,EUR,European Euro,EUR,978,2,2022-05-30 10:28:32.492000,true
4,1,KZT,Kazakhstan Tenge,KZT,398,2,2022-05-30 10:28:32.492000,true
5,1,UAH,Ukraine Hryvnia,UAH,980,2,2022-05-30 10:28:32.492000,true
6,1,USD,USA Dollars,USD,840,2,2022-05-30 10:28:32.492000,true
7,133,JPY,Japanese yen,JPY,392,2,2022-05-30 10:29:13.295000,false
8,134,JPY,Japanese yen,JPY,392,3,2022-05-30 10:29:13.307000,false
9,135,JPY,Japanese yen,JPY,392,0,2022-05-30 10:29:13.339000,false
11,531,AZN,Azerbaijani manat,AZN,944,2,2022-05-30 10:30:59.127000,true
12,1101,BRL,Brazilian real,BRL,987,2,2022-05-30 10:33:32.532000,true
10,292,JPY,Japanese yen,JPY,392,2,2022-05-30 10:29:55.719000,false
13,1143,JPY,Japanese yen,JPY,392,0,2022-05-30 10:33:43.206000,true
14,2353,BDT,Bangladesh Taka,BDT,50,2,2022-09-06 10:29:40.444000,true
15,3325,TRY,Turkish lira,TRY,949,2,2022-10-23 20:26:35.440000,true
16,4200,PHP,Philippine Peso,PHP,608,2,2022-12-12 10:45:49.142000,true
17,4945,PKR,Pakistan Rupee,PKR,586,2,2023-02-20 10:33:53.089000,true
18,4946,KRW,South Korean Won,KRW,410,2,2023-02-20 10:33:53.097000,false
19,7305,KRW,South Korean Won,KRW,410,0,2023-05-04 11:12:22.358000,true
20,9629,ARS,Argentino peso,ARS,32,2,2023-06-16 09:40:31.860000,true
21,10986,AED,Arab Emirates dirham,AED,784,2,2023-07-04 15:13:26.470000,true
22,13511,UZS,Uzbekistan Sum,UZS,860,2,2023-07-26 11:49:49.480000,true
26,16018,CZK,Czech Koruna,CZK,4217,2,2023-08-18 01:25:53.109000,false
27,16019,CZK,Czech Koruna,CZK,203,2,2023-08-18 01:26:58.268000,true
25,16017,CHF,Swiss franc,CHF,3166,2,2023-08-18 01:23:12.716000,false
28,16020,CHF,Swiss franc,CHF,756,2,2023-08-18 01:28:35.107000,true
24,16016,CAD,Canadian dollar,CAD,4217,2,2023-08-18 01:22:02.546000,false
29,16021,CAD,Canadian dollar,CAD,124,2,2023-08-18 01:28:55.172000,true
23,16015,AUD,Australian dollar,AUD,4217,2,2023-08-18 01:20:58.780000,false
30,16022,AUD,Australian dollar,AUD,36,2,2023-08-18 01:29:35.290000,true
31,16023,DKK,Danish krone,DKK,208,2,2023-08-18 01:31:18.918000,true
32,16024,HUF,Hungarian Forint,HUF,348,2,2023-08-18 01:33:34.240000,true
33,16025,ISK,Icelandic Krona,ISK,352,2,2023-08-18 01:35:09.479000,true
34,16026,KWD,Kuwaiti Dinar,KWD,414,2,2023-08-18 01:37:24.832000,true
35,16027,MXN,Mexican peso,MXN,484,2,2023-08-18 01:39:15.090000,true
36,16028,NOK,Norwegian krone,NOK,578,2,2023-08-18 01:40:50.318000,true
37,16029,NZD, New Zealand dollar,NZD,554,2,2023-08-18 01:42:10.527000,true
38,16030,PEN,Peruvian sol,PEN,604,2,2023-08-18 01:43:20.865000,true
39,16031,PLN,Polish złoty,PLN,985,2,2023-08-18 01:44:31.033000,true
40,16033,RON,Romanian leu,RON,946,2,2023-08-18 01:47:43.074000,true
41,16034,SAR,Saudi Riyal,SAR,682,2,2023-08-18 01:48:26.603000,true
42,16035,SEK,Swedish Krona,SEK,752,2,2023-08-18 01:49:31.771000,true
43,25146,QAR,Qatari riyal,QAR,634,2,2023-11-10 09:02:46.025000,true
44,25147,OMR,Omani rial,OMR,512,2,2023-11-10 09:06:36.778000,true
45,26247,BGN,Bulgarian lev,BGN,975,2,2023-11-23 17:44:08.818000,true
